Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim,FWHM,r_opt,Io_err,I_rand
N2188-1.Q2.I.170331_0023.C.000858.061035N3413.0060.nh.fits,2017-03-31T00:23:00.000,C,486,455.016493056,92.654746358,-34.1410913627,41.8288195388,34.9788893149,19.5560822049,0.0325749113628,22.4803800914,2.61337739604,1.76509297221,0.0285886721845,0.00861767259812
N2188-1.Q2.I.170315_1939.S.062853.061035N3413.0060.nh.fits,2017-03-15T19:39:00.000,S,487,439.819224537,92.6547492451,-34.1410874417,60.1039068519,24.8959885114,19.1606253439,0.0453463363369,21.6133276079,3.41691106664,1.87429836781,0.0401671136513,0.0106927797063
N2188-1.Q2.I.170212_0334.C.054764.061035N3413.0060.nh.fits,2017-02-12T03:34:00.000,C,488,408.14880787,92.6547471999,-34.1410744154,41.0323340059,43.4760271195,19.5770558655,0.0264035018867,22.8743893776,2.2226399847,1.19749561434,0.0230011817145,0.00752990792413
N2188-1.Q2.I.161220_2344.S.047259.061035N3413.0060.nh.fits,2016-12-20T23:44:00.000,S,489,354.988912037,92.6557606038,-34.1415409694,0.28290497329,0.218189011523,25.0067077909,5.07352129762,22.2428348419,2.94858945857,1.76009966298,4.5831822282,0.788782489914
N2188-1.Q2.I.170415_0941.A.054053.061035N3413.0060.nh.fits,2017-04-15T09:41:00.000,A,490,470.403645833,92.6547536296,-34.1410848233,15.5502719645,18.3260222214,20.635583105,0.0612320342121,22.778195973,2.32628510645,1.51590528697,0.054567215292,0.0131415897911
N2188-1.Q2.I.161104_1658.A.031494.061035N3413.0060.nh.fits,2016-11-04T16:58:00.000,A,491,308.707164352,92.6548018396,-34.1413548609,1.402988038,0.542865584787,23.2598293651,2.03914122597,21.4112711308,3.54633995162,1.58803732369,1.84207661716,0.316958427796
N2188-1.Q2.I.161218_0053.S.046568.061035N3413.0060.nh.fits,2016-12-18T00:53:00.000,S,492,352.037476852,92.6547830919,-34.1411878031,1.28309987935,0.557078621516,23.3572786473,1.98687546317,21.5650137671,3.68481714712,1.76175142288,1.79507875796,0.307571223774
N2188-1.Q2.I.170227_1036.A.046887.061035N3413.0060.nh.fits,2017-02-27T10:36:00.000,A,493,423.442303241,92.6547365984,-34.1410895913,66.3039522133,26.2935230565,19.0535219193,0.042996499094,21.509805739,4.22940447567,1.49519723464,0.0380321799346,0.0103374978377
N2188-1.Q2.I.170218_1416.A.045021.061035N3413.0060.nh.fits,2017-02-18T14:16:00.000,A,494,414.595,92.6552272021,-34.1411736946,60.2138077233,8.00522632231,19.1586323516,0.138833107915,20.2748844735,11.6677658874,1.38692022108,0.124918392028,0.0242959391873
N2188-1.Q2.I.161207_0610.C.041803.061035N3413.0060.nh.fits,2016-12-07T06:10:00.000,C,495,341.257222222,92.6548487561,-34.1411472385,-0.802294444162,-1.07189701505,nan,nan,22.7404017691,2.0463351831,1.52469858901,-0.932925445227,-0.161937000044
N2188-1.Q2.I.161115_1455.A.032956.061035N3413.0060.nh.fits,2016-11-15T14:55:00.000,A,496,319.621921296,92.6549776913,-34.1412367976,4.61931320627,1.32163121255,21.9598104793,0.837718018514,21.1064687428,3.5439615833,1.49251205332,0.756640725873,0.130904588441
N2188-1.Q2.I.170319_0038.C.063115.061035N3413.0060.nh.fits,2017-03-19T00:38:00.000,C,497,443.026481481,92.6547548314,-34.1410949491,56.7233111824,32.1038643817,19.223779858,0.0354012487491,21.9223196958,3.11086766617,1.87405332225,0.0311488980925,0.00909661081799
N2188-1.Q2.I.170330_0140.C.000631.061035N3413.0060.nh.fits,2017-03-30T01:40:00.000,C,498,454.070069444,92.6547682536,-34.1410735877,49.927445347,17.1986597851,19.3630004988,0.0651374747607,21.3242332742,4.79049976694,1.67143965677,0.0581440654385,0.0135728316351
N2188-1.Q2.I.170202_1921.S.054287.061035N3413.0060.nh.fits,2017-02-02T19:21:00.000,S,499,398.806863426,92.6547737311,-34.1411239801,69.2043133866,17.722437535,19.0068144249,0.0632434474173,20.9616121785,7.75633382472,1.53932087024,0.0564256467558,0.0132964493121
N2188-1.Q2.I.170202_2028.S.054319.061035N3413.0060.nh.fits,2017-02-02T20:28:00.000,S,500,398.853391204,92.6548258527,-34.1411201188,62.3235985852,15.0739621578,19.1210617988,0.0741657511283,20.8927705823,8.8413958551,1.44631698005,0.066339558872,0.0148570740736
N2188-1.Q2.I.170307_2108.S.061106.061035N3413.0060.nh.fits,2017-03-07T21:08:00.000,S,501,431.880833333,92.6547146303,-34.1411131721,69.655360745,25.9112826937,18.9997271143,0.0436115499757,21.4401822383,3.59748812958,1.76301690618,0.0385932264265,0.0104225952356
N2188-1.Q2.I.170215_0226.C.055528.061035N3413.0060.nh.fits,2017-02-15T02:26:00.000,C,502,411.101736111,92.6547343781,-34.1410733205,46.290719185,44.7470814643,19.4455081857,0.0256625547824,22.708062628,2.30711525331,1.55547141335,0.0223478262107,0.00734264495387
N2188-1.Q2.I.170309_2053.S.061676.061035N3413.0060.nh.fits,2017-03-09T20:53:00.000,S,503,433.870671296,92.6547703581,-34.1411215275,64.2468759628,12.8720392239,19.0879046723,0.0866684206561,20.7084054919,7.84812541195,1.47858445547,0.0776877682398,0.0166083925559
N2188-1.Q2.I.170119_1108.A.042190.061035N3413.0060.nh.fits,2017-01-19T11:08:00.000,A,504,384.464016204,92.654742918,-34.1411031827,56.6547276181,31.3701139618,19.2250997096,0.0362115976603,21.9210137478,3.12711927158,1.59782993523,0.0318774742489,0.00925137020311
N2188-1.Q2.I.170207_0239.C.053591.061035N3413.0060.nh.fits,2017-02-07T02:39:00.000,C,505,403.110648148,92.6547395928,-34.1410844736,52.5135220632,41.8097312797,19.3079078114,0.0274026507047,22.4752237957,2.49239395081,1.79775962664,0.0239178767572,0.00767199290047
N2188-1.Q2.I.161130_0621.C.040121.061035N3413.0060.nh.fits,2016-11-30T06:21:00.000,C,506,334.264768519,92.6550450798,-34.1409832435,0.711275691275,0.719565857529,24.0009095617,1.53853984534,22.5258958152,2.63661072666,1.63497561562,1.38972686035,0.239883177037
N2188-1.Q2.I.170122_0231.C.051104.061035N3413.0060.nh.fits,2017-01-22T02:31:00.000,C,507,387.105092593,92.6547523712,-34.1410809599,54.9544813497,38.7169236761,19.2583411123,0.029518412492,22.2104279327,2.76105703262,2.06675449775,0.0258284983684,0.00806235969369
N2188-1.Q2.I.170123_0247.C.051299.061035N3413.0060.nh.fits,2017-01-23T02:47:00.000,C,508,388.116111111,92.6546459323,-34.1410711843,68.0563278329,3.51067435932,19.0250632315,0.315580851148,19.2190120559,4.11429016777,1.71277879432,0.284845558901,0.0504124250181
N2188-1.Q2.I.161212_1658.A.037445.061035N3413.0060.nh.fits,2016-12-12T16:58:00.000,A,509,346.707280093,92.6550459185,-34.1420649519,1.26825807645,0.232317298703,23.36997135,4.76426774517,20.6151277929,4.58056735441,1.43536854804,4.30445776351,0.736969958923
N2188-1.Q2.I.161203_0529.C.040803.061035N3413.0060.nh.fits,2016-12-03T05:29:00.000,C,510,337.228506944,92.6551004481,-34.1412147606,13.8304049968,0.49050574868,20.76345167,2.25706522765,18.828292916,2.37396628337,1.47939341988,2.0387120899,0.352155242869
N2188-1.Q2.I.161201_0520.C.040326.061035N3413.0060.nh.fits,2016-12-01T05:20:00.000,C,511,335.222766204,92.6547789801,-34.1412111885,-2.46270863213,-0.24379145238,nan,nan,19.8456592592,2.59905593314,1.52952413536,-4.10186653485,-0.70736901871
N2188-1.Q2.I.170327_0209.C.065293.061035N3413.0060.nh.fits,2017-03-27T02:09:00.000,C,512,451.089872685,92.6547417585,-34.1410819606,39.2828648439,36.1644716294,19.6245906135,0.0315469850568,22.6916634652,2.56883713537,1.27967010547,0.0276514478145,0.00846126092021
N2188-1.Q2.I.170404_1005.A.052106.061035N3413.0060.nh.fits,2017-04-04T10:05:00.000,A,513,459.420671296,92.6547986034,-34.1411631432,44.9352812676,9.35138789295,19.4779292225,0.118923169869,20.7587606306,6.40818590576,1.71417327292,0.106935998319,0.0211580694928
N2188-1.Q2.I.161219_1256.A.038301.061035N3413.0060.nh.fits,2016-12-19T12:56:00.000,A,514,353.539571759,92.6548631712,-34.1410940818,1.40455975953,0.81922365486,23.2586078962,1.3513400404,21.8887087142,3.09451656997,1.62340915424,1.22066787753,0.210497487719
N2188-1.Q2.I.170110_0647.C.048437.061035N3413.0060.nh.fits,2017-01-10T06:47:00.000,C,515,375.282905093,92.6547508743,-34.141076889,44.1299964083,32.8191320851,19.4976573963,0.03466054037,22.2631087141,2.53807254011,1.48122543239,0.0304700318523,0.00899866191405
N2188-1.Q2.I.170307_0209.C.060360.061035N3413.0060.nh.fits,2017-03-07T02:09:00.000,C,516,431.089872685,92.6547412403,-34.1410851527,45.471081994,39.1771911431,19.4649978886,0.0291915589163,22.5425403153,2.56222218223,1.32379226489,0.0255250560549,0.0080287647468
N2188-1.Q2.I.170320_0040.C.063375.061035N3413.0060.nh.fits,2017-03-20T00:40:00.000,C,517,444.027847222,92.6547523128,-34.1410866333,56.2870164321,24.0329814723,19.2322034622,0.0469346233323,21.6002843832,3.98877375445,1.59267749682,0.0416094857458,0.0109331104933
N2188-1.Q2.I.161115_0744.C.036984.061035N3413.0060.nh.fits,2016-11-15T07:44:00.000,C,518,319.322581019,92.6548272559,-34.1411121274,0.122514660691,0.0386723342376,25.9197005226,28.6274703069,21.20683708,4.23313308692,0.999735247083,25.8582787855,4.4648855883
N2188-1.Q2.I.161027_0601.C.033356.061035N3413.0060.nh.fits,2016-10-27T06:01:00.000,C,519,300.250902778,92.6552034631,-34.1406919772,1.45462796262,0.357257781168,23.2203960804,3.09880090478,20.952594307,2.78871556592,1.49996467304,2.79909928548,0.483006430179
N2188-1.Q2.I.170121_0130.C.050873.061035N3413.0060.nh.fits,2017-01-21T01:30:00.000,C,520,386.062986111,92.6547546131,-34.1410905356,56.4258485199,38.5535114495,19.2295159495,0.0296414525489,22.2517517378,2.90301296099,1.72615555283,0.0259379745814,0.00809014356332
N2188-1.Q2.I.161218_2242.S.046754.061035N3413.0060.nh.fits,2016-12-18T22:42:00.000,S,521,352.946145833,92.6549387008,-34.1411858965,1.93746158495,1.89984033786,22.9076993853,0.582866537708,22.4703955755,2.70249487465,1.73855778233,0.52636002093,0.0916260321379
N2188-1.Q2.I.161220_0511.C.044094.061035N3413.0060.nh.fits,2016-12-20T05:11:00.000,C,522,354.216099537,92.6548613967,-34.1411588364,-0.162842741225,-0.211945784204,nan,nan,22.7347067682,2.07601794251,1.62869102134,-4.71818773728,-0.815527458826
N2188-1.Q2.I.170125_2101.S.052632.061035N3413.0060.nh.fits,2017-01-25T21:01:00.000,S,523,390.875775463,92.6547879746,-34.1411204247,67.2084215882,20.5616580625,19.038740609,0.0546609364068,21.1729311283,6.19399206633,1.59429077879,0.0486342101869,0.0120471061426
N2188-1.Q2.I.170221_1251.A.045805.061035N3413.0060.nh.fits,2017-02-21T12:51:00.000,A,524,417.535555556,92.6547570567,-34.1411119278,62.5898240134,38.2902337897,19.1164115624,0.0298390550002,22.116274406,3.35394511871,1.58208689969,0.0261163200385,0.00812663990086
N2188-1.Q2.I.161226_1134.A.039614.061035N3413.0060.nh.fits,2016-12-26T11:34:00.000,A,525,360.482118056,92.6547793795,-34.141090309,34.364750646,10.696509886,19.7705125825,0.104124109676,21.2118728089,3.66516455681,1.63825883972,0.093488437879,0.0192201854214
N2188-1.Q2.I.161106_1640.A.031945.061035N3413.0060.nh.fits,2016-11-06T16:40:00.000,A,526,310.694537037,92.6544963233,-34.1416059988,1.91180787306,1.50185059734,22.9222409879,0.737246488466,22.2350570264,2.69903090938,1.68940525146,0.66584519244,0.115481624211
N2188-1.Q2.I.170305_1851.S.060446.061035N3413.0060.nh.fits,2017-03-05T18:51:00.000,S,527,429.785972222,92.6547350748,-34.1410833264,61.7595677124,28.3417527769,19.1309798636,0.0399637748667,21.6728421704,3.53319187049,1.77662984661,0.0352836328745,0.00984787198251
N2188-1.Q2.I.161025_1628.A.029616.061035N3413.0060.nh.fits,2016-10-25T16:28:00.000,A,528,298.686458333,92.655667115,-34.14161617,1.16558191357,0.297605859972,23.4620734201,3.71890544961,21.0184683024,4.02588281346,1.64581740252,3.36014888985,0.574312033448
N2188-1.Q2.I.170309_0959.A.048422.061035N3413.0060.nh.fits,2017-03-09T09:59:00.000,A,529,433.416226852,92.6547425601,-34.141094659,60.3074493872,23.0975249394,19.1569370791,0.0488018314674,21.5130927125,3.49326242177,1.55691213043,0.0432946821195,0.0112538894514
N2188-1.Q2.I.170305_2000.S.060477.061035N3413.0060.nh.fits,2017-03-05T20:00:00.000,S,530,429.833553241,92.6547460419,-34.1410885647,61.490565936,38.0537695795,19.135742006,0.0300161037406,22.1017568951,3.1519874115,1.68674067207,0.0262786055376,0.00815128013294
N2188-1.Q2.I.161213_0645.C.042914.061035N3413.0060.nh.fits,2016-12-13T06:45:00.000,C,531,347.28130787,92.6548395735,-34.1411744722,-0.00355652939374,-0.00454435101823,nan,nan,22.6735262184,1.94559820609,1.50382607459,-220.053423688,-38.2296801729
N2188-1.Q2.I.170227_1255.A.046949.061035N3413.0060.nh.fits,2017-02-27T12:55:00.000,A,532,423.538842593,92.654771912,-34.1410841986,62.6804627498,19.595392096,19.1148328618,0.057304414971,21.2022138172,5.30362226714,1.50797263969,0.0510324057361,0.012441818693
N2188-1.Q2.I.161119_0211.S.041915.061035N3413.0060.nh.fits,2016-11-19T02:11:00.000,S,533,323.091319444,92.6548615671,-34.1411280169,-3.30446501509,-1.26448083375,nan,nan,21.4381048198,3.69359030352,1.77952088887,-0.790838400481,-0.135729507547
N2188-1.Q2.I.161030_0559.C.034165.061035N3413.0060.nh.fits,2016-10-30T05:59:00.000,C,534,303.249953704,92.6548356871,-34.1411439606,1.05262446155,0.572295125826,23.5732780062,1.93439694748,21.8136905836,3.3729480409,1.36617922845,1.74735019551,0.301285315996
N2188-1.Q2.I.161228_1212.A.040099.061035N3413.0060.nh.fits,2016-12-28T12:12:00.000,A,535,362.508460648,92.6547720471,-34.1410508508,46.7331281065,12.1189061945,19.4351313057,0.0920182437375,21.0794610435,3.88313849626,1.66486165677,0.0825156976998,0.0174810644377
N2188-1.Q2.I.161217_2345.S.046537.061035N3413.0060.nh.fits,2016-12-17T23:45:00.000,S,536,351.990150463,92.6544437859,-34.1416631409,2.20235630368,0.646964855667,22.7678953279,1.71043456588,21.1456761079,4.64881311039,2.03272995175,1.54567901369,0.262692705542
N2188-1.Q2.I.170125_0133.C.051505.061035N3413.0060.nh.fits,2017-01-25T01:33:00.000,C,537,390.064594907,92.6547489588,-34.1410931204,60.9940522033,24.1169617598,19.1445867656,0.0467845970572,21.5261669125,3.509826746,1.47770130296,0.0414645928439,0.010943308026
N2188-1.Q2.I.170118_2034.S.051385.061035N3413.0060.nh.fits,2017-01-18T20:34:00.000,S,538,383.857013889,92.6547617361,-34.1411046745,64.1801513347,28.6640250375,19.0890382824,0.0395205171692,21.638723149,4.30909049938,1.57340535257,0.0348869357563,0.00975778947184
N2188-1.Q2.I.170331_0237.C.000918.061035N3413.0060.nh.fits,2017-03-31T02:37:00.000,C,539,455.109664352,92.6547588752,-34.1410908911,45.6238937822,27.7774616979,19.4613377564,0.0407596466278,21.9861860412,3.18666753204,1.46991476684,0.0360004096442,0.00999330130693
N2188-1.Q2.I.161215_0045.S.045874.061035N3413.0060.nh.fits,2016-12-15T00:45:00.000,S,540,349.031539352,92.6553891612,-34.1410304654,2.86028344211,1.81776545097,22.4827293443,0.609178618292,21.9367678818,2.97101022945,1.61580292611,0.550125979932,0.0957351082733
N2188-1.Q2.I.170303_1305.A.047447.061035N3413.0060.nh.fits,2017-03-03T13:05:00.000,A,541,427.545266204,92.6547598651,-34.1411021683,62.2287926355,14.8985208213,19.1227225996,0.0750247751451,20.9309233954,5.8827606859,1.49157965335,0.0671207572882,0.0149717920804
N2188-1.Q2.I.161202_0640.C.040592.061035N3413.0060.nh.fits,2016-12-02T06:40:00.000,C,542,336.278344907,92.6547863619,-34.1415423309,0.760397879498,1.2292679543,23.9280541998,0.900866695566,23.0239170182,2.06899319574,1.50699539609,0.813492287424,0.141839667132
N2188-1.Q2.I.161205_0644.C.041323.061035N3413.0060.nh.fits,2016-12-05T06:44:00.000,C,543,339.280902778,92.6548240044,-34.1409207229,1.72354858881,0.252675620046,23.0353330229,4.38148581471,20.3941941212,2.15515363932,1.62632690148,3.95764339993,0.68343215603
N2188-1.Q2.I.170303_0217.C.059472.061035N3413.0060.nh.fits,2017-03-03T02:17:00.000,C,544,427.095833333,92.6547623662,-34.1411028507,74.3765549985,23.9388005232,18.9281815539,0.0471082929939,21.2714363597,3.41408006477,2.05952719748,0.0417731873839,0.0109364439627
N2188-1.Q2.I.170331_1056.A.051265.061035N3413.0060.nh.fits,2017-03-31T10:56:00.000,A,545,455.456238426,92.6550449857,-34.1412103227,28.6169148439,1.82168418417,19.9701924316,0.607863890815,19.4514599343,9.42383711833,1.50167821962,0.548942571215,0.0955062432597
N2188-1.Q2.I.170113_0347.C.049081.061035N3413.0060.nh.fits,2017-01-13T03:47:00.000,C,546,378.157662037,92.654739327,-34.1411689944,57.7696205474,3.02472078401,19.2038397517,0.366316769319,19.3306486206,2.11816930941,1.50622663964,0.330609028538,0.0586928902307
N2188-1.Q2.I.170328_1944.S.000420.061035N3413.0060.nh.fits,2017-03-28T19:44:00.000,S,547,452.822349537,92.6547376341,-34.1411131023,56.7020377176,17.6074039366,19.2241890829,0.0636504971812,21.2100830688,4.70329883142,1.66565162036,0.0567942896978,0.0133587766196
N2188-1.Q2.I.170212_1200.A.044538.061035N3413.0060.nh.fits,2017-02-12T12:00:00.000,A,548,408.500509259,92.6551902772,-34.1410864093,59.2828704354,6.63568858372,19.1756307233,0.167315078093,20.0390979252,10.227830632,1.66649365663,0.150700260777,0.0284742461701
N2188-1.Q2.I.161222_2116.S.047585.061035N3413.0060.nh.fits,2016-12-22T21:16:00.000,S,549,356.886759259,92.6547904584,-34.1411935116,-0.237017392477,-0.1973253723,nan,nan,22.2897191876,2.9086876919,1.78573839154,-5.06777201706,-0.871753960554
N2188-1.Q2.I.170116_2035.S.050941.061035N3413.0060.nh.fits,2017-01-16T20:35:00.000,S,550,381.857928241,92.6555008704,-34.1410848153,26.4315639339,3.91588774194,20.0568563071,0.282928186053,20.3774404171,10.3451106128,1.45837329531,0.255369935478,0.0452137946811
N2188-1.Q2.I.170120_0236.C.050690.061035N3413.0060.nh.fits,2017-01-20T02:36:00.000,C,551,385.109027778,92.654729385,-34.1410517747,38.0254491007,41.6477668389,19.660082161,0.0275058302891,22.8909518408,1.95057914565,1.77069758785,0.024010891241,0.00769165825205
N2188-1.Q2.I.170416_1901.S.004681.061035N3413.0060.nh.fits,2017-04-16T19:01:00.000,S,552,471.79255787,92.6546871993,-34.1410792055,24.4376489712,8.54220179211,20.1424236647,0.130103371052,21.3208948626,4.79618012834,1.64487390309,0.117065836694,0.0227567414809
N2188-1.Q2.I.170331_0132.C.000888.061035N3413.0060.nh.fits,2017-03-31T01:32:00.000,C,553,455.064027778,92.6547549819,-34.1410791925,42.1377100743,34.7668181797,19.5480555554,0.032767709131,22.4497715062,2.66771028992,1.68573464155,0.0287630577763,0.00865147158768
N2188-1.Q2.I.161119_0009.S.041861.061035N3413.0060.nh.fits,2016-11-19T00:09:00.000,S,554,323.006388889,92.6546884831,-34.1414986588,3.81270238979,2.68568603137,22.1691718718,0.412421735976,22.0907372294,3.27017109433,1.67974496138,0.372344342681,0.0653745372766
N2188-1.Q2.I.170113_0241.C.049051.061035N3413.0060.nh.fits,2017-01-13T02:41:00.000,C,555,378.112453704,92.6547447056,-34.1410882021,57.7252308296,12.2361160396,19.2046783495,0.0911988475957,20.7553274667,1.90204790503,1.40913465592,0.0817252792277,0.0175859874397
N2188-1.Q2.I.170415_0124.C.004750.061035N3413.0060.nh.fits,2017-04-15T01:24:00.000,C,556,470.058449074,92.6547456445,-34.1411120017,26.3118998976,12.1088556852,20.0618065862,0.0921090805761,21.5691778537,3.56105034167,1.40099650109,0.082584186813,0.017559418454
